id,concept,subconcept,book,page,notes
1,/GS,,5,37,
2,/GS,,5,106,
3,802.1Q,,1,63-67,
4,802.1Q,,1,69-71,Attacked by Yersinia
6,802.1Q,,1,75,vconfig to add VLAN
7,802.1X,,1,33,Port authentication check
8,802.1X,,1,57-58,"Network Auth, requiring Supplicant/Port Access Entity, and Auth server"
9,802.1X,,1,60-61,Layer 2
10,802.1X,,2,60,
11,Accumulator Register (EAX/RAX),,4,9,
12,Address Space Layout Randomization (ASLR),,2,74,
13,Address Space Layout Randomization (ASLR),,4,16,
14,Address Space Layout Randomization (ASLR),,4,92,
15,Address Space Layout Randomization (ASLR),,4,114,
16,Address Space Layout Randomization (ASLR),,4,116,
17,Address Space Layout Randomization (ASLR),,4,122,
18,Address Space Layout Randomization (ASLR),,4,129,
19,Address Space Layout Randomization (ASLR),,4,141-142,
20,Address Space Layout Randomization (ASLR),,4,144-147,
21,Address Space Layout Randomization (ASLR),,4,149,
22,Address Space Layout Randomization (ASLR),,4,151-152,
23,Address Space Layout Randomization (ASLR),,4,154,
24,Address Space Layout Randomization (ASLR),,4,157-158,
25,Address Space Layout Randomization (ASLR),,4,160,
26,Address Space Layout Randomization (ASLR),,4,162-163,
27,Address Space Layout Randomization (ASLR),,4,165,
28,Address Space Layout Randomization (ASLR),,4,167,
29,Address Space Layout Randomization (ASLR),,5,4,
30,Address Space Layout Randomization (ASLR),,5,22-23,
31,Address Space Layout Randomization (ASLR),,5,35-37,
32,Address Space Layout Randomization (ASLR),,5,48,
33,Address Space Layout Randomization (ASLR),,5,52-53,
34,Address Space Layout Randomization (ASLR),,5,59,
35,Address Space Layout Randomization (ASLR),,5,64,
36,Address Space Layout Randomization (ASLR),,5,67-69,
37,Address Space Layout Randomization (ASLR),,5,85-86,
38,Address Space Layout Randomization (ASLR),,5,102,
39,Address Space Layout Randomization (ASLR),,5,105,
40,Address Space Layout Randomization (ASLR),,5,111,
41,Address Space Layout Randomization (ASLR),,5,127,
42,Address Space Layout Randomization (ASLR),,5,129,
43,Address Space Layout Randomization (ASLR),,5,139,
44,AES,,2,10-11,
45,AES,,2,13-14,
46,AES,,2,16,
47,AES,,2,20,
48,AES,,2,22,
49,AES,,2,25,
50,AES,,2,31-32,
51,AES,,2,38,
52,AES,,2,44,
53,AES,,2,56,
54,AES,,2,116,
55,Alternative Payloads,,2,86,
56,Alternative Payloads,,2,121,
57,American Fuzzy Lop (AFL),,3,101,
58,American Fuzzy Lop (AFL),,3,145,
59,American Fuzzy Lop (AFL),,3,148-157,
60,American Fuzzy Lop (AFL),,3,160-162,
61,American Fuzzy Lop (AFL),,3,166,
62,AppArmor,,2,74,
63,AppLocker,,2,74-75,
64,AppLocker,,2,79-80,
65,ARP Spoofing,,1,81-85,Definition + Example
68,ARP Spoofing,,2,52,
69,ARP Spoofing,,3,87,
70,Backup Designated Router (BDR),,1,115-116,Redundancy in OSPF
72,BetterCap,,1,96-98,"Extensible MitM Golang, Caplets"
74,BetterCap,,1,150,
75,BetterCap,,1,152,
76,Blowfish,,2,10,
77,BooFuzz,,3,114-128,
78,BooFuzz,,3,130-132,
79,BooFuzz,,3,165,
80,brk(),,4,142,
81,Browser Caching,,1,91,If-Modified-Since
82,Cain,,1,42,Monitoring insecure Captive Portal auth
84,Canaries,,4,15,
85,Canaries,,4,92,
86,Canaries,,4,110,
87,Canaries,,4,122,
88,Canaries,,4,129-134,
89,Canaries,,4,146,
90,Canaries,,4,161,
91,Canaries,,4,163,
92,Canaries,,5,35-37,
93,Canaries,,5,45,
94,Canaries,,5,106,
95,Canaries,,5,124,
96,Captive Portal,,1,37-44,"NAC Implementation, Authentication"
99,Captive Portal,,1,77,Exceptions
101,Captive Portal,,1,145,
102,Captive Portal,,1,159,
103,Captive Portal,RFC Standard,1,43,RFC8126
104,captive portal scam,,1,46,"Josh Wright, script watches traffic to impersonate auth'd clients to bypass."
106,chunk,,3,136,
107,chunk,,3,150,
108,chunk,,4,116,
109,chunk,,5,47-51,
110,chunk,,5,70,
111,chunk,,5,85-86,
112,Cipher Block Chaining (CBC),,2,11,
113,Cipher Block Chaining (CBC),,2,15-18,
114,Cipher Block Chaining (CBC),,2,20,
115,Cipher Block Chaining (CBC),,2,22,
116,Cipher Block Chaining (CBC),,2,32,
117,Cipher Block Chaining (CBC),,2,37-41,
118,Cipher Block Chaining (CBC),,2,43-44,
119,Cipher Block Chaining (CBC),,2,68,
120,Cisco Discovery Protocol (CDP),,1,66,Attacked by Yersinia
121,Cisco Discovery Protocol (CDP),,1,73-76,"60 secs, serves Device ID, SW version, Platform, Port, Native VLAN and VoIP VLAN Reply"
122,Code Segment (CS),,3,161,
123,Code Segment (CS),,4,5,
124,Code Segment (CS),,4,7-8,
125,Code Segment (CS),,4,14,
126,Code Segment (CS),,4,16,
127,Code Segment (CS),,4,19,
128,Code Segment (CS),,4,21-30,
129,Code Segment (CS),,4,45,
130,Code Segment (CS),,4,50,
131,Code Segment (CS),,4,116,
132,Code Segment (CS),,4,120,
133,Code Segment (CS),,4,142,
134,Code Segment (CS),,4,152,
135,Code Segment (CS),,4,161,
136,Code Segment (CS),,5,20-21,
137,Code Segment (CS),,5,38-39,
138,Code Segment (CS),,5,65,
139,COMB,,1,21,"Compilation of Many Breaches are password lists, often sketchy"
140,Control Flow Guard (CFG),,5,4,
141,Control Flow Guard (CFG),,5,36-37,
142,Control Flow Guard (CFG),,5,57,
143,Control Flow Guard (CFG),,5,59,
144,Control Flow Integrity (CFI),,5,58,
145,Counter (CTR),,2,11,
146,Counter (CTR),,2,17-18,
147,cpscam,,1,46,"Josh Wright, script watches traffic to impersonate auth'd clients to bypass."
148,crashbin_explorer.py,,3,131,
149,Data Encryption Standard (DES),,2,10-12,
150,Data Encryption Standard (DES),,2,25,
151,Data Encryption Standard (DES),,2,42,
152,Data Encryption Standard (DES),,2,44,
153,Data Execution Prevention (DEP),,1,14,Exploit Mitigation Control
154,Data Execution Prevention (DEP),,4,92,
155,Data Execution Prevention (DEP),,4,110,
156,Data Execution Prevention (DEP),,4,122,
157,Data Execution Prevention (DEP),,5,4,
158,Data Execution Prevention (DEP),,5,35-37,
159,Data Execution Prevention (DEP),,5,39,
160,Data Execution Prevention (DEP),,5,53,
161,Data Execution Prevention (DEP),,5,62-63,
162,Data Execution Prevention (DEP),,5,71,
163,Data Execution Prevention (DEP),,5,85-86,
164,Data Execution Prevention (DEP),,5,102-116,
165,Data Execution Prevention (DEP),,5,118-123,
166,Data Execution Prevention (DEP),,5,125,
167,Data Execution Prevention (DEP),,5,155-156,
168,Data Register (EDX/RDX),,4,9,
169,Data Segment (DS),,2,51,
170,Data Segment (DS),,4,7,
171,Data Segment (DS),,4,10,
172,Data Segment (DS),,4,14,
173,Data Segment (DS),,4,19-20,
174,Data Segment (DS),,4,120,
175,Data Segment (DS),,5,18,
176,Data Segment (DS),,5,20,
177,Data Segment (DS),,5,23,
178,Data Segment (DS),,5,38,
179,Data Segment (DS),,5,90,
180,Data Segment (DS),,5,141,
181,Debugging,,1,11-13,"Discussing vendor and debugging symbols, microsoft offering the only ones."
183,Debugging,,2,25,
184,Debugging,,2,139,
185,Debugging,,3,44-47,
186,Debugging,,3,117,
187,Debugging,,3,121,
188,Debugging,,3,128,
189,Debugging,,3,159,
190,Debugging,,4,32-34,
191,Debugging,,4,40,
192,Debugging,,4,54,
193,Debugging,,4,92,
194,Debugging,,4,99,
195,Debugging,,4,104,
196,Debugging,,4,107,
197,Debugging,,4,110,
198,Debugging,,4,112,
199,Debugging,,5,15,
200,Debugging,,5,70,
201,Debugging,,5,91,
202,Denial of Service (DoS),,3,47,
203,Denial of Service (DoS),,5,12,
204,Designated Router (DR),,1,115-116,
205,dlmalloc,,5,48,
206,Drcov,,3,138-140,
207,Drcov,,3,142,
208,Drcov,,3,161,
209,Drrun,,3,138-139,
210,Dynamic Host Configuration Protocol (DHCP),,1,41,Exposed before Captive Portal Auth
211,Dynamic Host Configuration Protocol (DHCP),,1,66,Attacked by Yersinia
213,Dynamic Host Configuration Protocol (DHCP),,2,54,
214,Dynamic Host Configuration Protocol (DHCP),,3,75,
215,Dynamic Host Configuration Protocol (DHCP),,3,79,
216,Dynamic Host Configuration Protocol (DHCP),,3,86,
217,Dynamic Host Configuration Protocol (DHCP),,3,110,
218,Dynamic Link Libraries (DLLs),,2,20,
219,Dynamic Link Libraries (DLLs),,2,80,
220,Dynamic Link Libraries (DLLs),,2,86,
221,Dynamic Link Libraries (DLLs),,2,93,
222,Dynamic Link Libraries (DLLs),,2,95,
223,Dynamic Link Libraries (DLLs),,2,97-98,
224,Dynamic Link Libraries (DLLs),,2,114,
225,Dynamic Link Libraries (DLLs),,2,118,
226,Dynamic Link Libraries (DLLs),,2,121-124,
227,Dynamic Link Libraries (DLLs),,2,129,
228,Dynamic Link Libraries (DLLs),,2,138,
229,Dynamic Link Libraries (DLLs),,4,59,
230,Dynamic Link Libraries (DLLs),,4,78,
231,Dynamic Link Libraries (DLLs),,4,80,
232,Dynamic Link Libraries (DLLs),,4,82,
233,Dynamic Link Libraries (DLLs),,5,8,
234,Dynamic Link Libraries (DLLs),,5,10,
235,Dynamic Link Libraries (DLLs),,5,24,
236,Dynamic Link Libraries (DLLs),,5,43,
237,Dynamic Link Libraries (DLLs),,5,65,
238,Dynamic Link Libraries (DLLs),,5,67-68,
239,Dynamic Link Libraries (DLLs),,5,75,
240,Dynamic Link Libraries (DLLs),,5,78,
241,Dynamic Link Libraries (DLLs),,5,81,
242,Dynamic Link Libraries (DLLs),,5,105,
243,Dynamic Link Libraries (DLLs),,5,111,
244,Dynamic Trunking Protocol (DTP),,1,64-69,"Cisco Protocol, Negotiates Trunc and Encap (802.1Q/ISL). Port Meanings"
245,Dynamic Trunking Protocol (DTP),,1,71-72,Example attack
246,Dynamips,,1,119,Cisco IOS VM
247,DynamoRIO,,2,113,
248,DynamoRIO,,3,137-140,
249,DynamoRIO,,3,142-143,
250,DynamoRIO,,3,161,
251,dynapstalker,,3,140-142,
252,EAP Shadow Attack,,1,60,Impersonating Victim via MAC
253,EAP type,,1,57-58,Captive Portal Auth
254,EAX/RAX,,4,9,
255,EAX/RAX,,4,20,
256,EDX/RDX,,4,9,
257,Electronic Codebook (ECB),,2,11-15,
258,Electronic Codebook (ECB),,2,17-18,
259,Electronic Codebook (ECB),,2,31,
260,Empire,,2,101,
261,Empire,,2,106,
262,Empire,,2,129-130,
263,Enhanced Mitigation Experience Toolkit (EMET),,5,37,
264,Enhanced Mitigation Experience Toolkit (EMET),,5,44,
265,Enhanced Mitigation Experience Toolkit (EMET),,5,54,
266,Enhanced Mitigation Experience Toolkit (EMET),,5,63-65,
267,Enhanced Mitigation Experience Toolkit (EMET),,5,71-73,
268,Enhanced Mitigation Experience Toolkit (EMET),,5,75,
269,Enhanced Mitigation Experience Toolkit (EMET),,5,102,
270,Ent (tool),,2,32-34,
271,ESI/RSI,,4,11,
272,ESP/RSP,,4,11,
273,ESP/RSP,,4,14,
275,Ettercap,,1,84-90,MitM Attack Sample
276,Ettercap,,1,92,SMB Capture
277,Ettercap,,1,94-99,Limitations
280,Ettercap,,1,147-148,
281,Ettercap,,1,150,
282,Ettercap,,1,152-153,
283,Ettercap,,1,159,
284,Ettercap,,2,52,
285,Exception Handling,,4,81,
286,Exception Handling,,5,4-5,
287,Exception Handling,,5,8,
288,Exception Handling,,5,25,
289,Exception Handling,,5,27-28,
290,Exception Handling,,5,32-33,
291,Exception Handling,,5,36,
292,Exception Handling,,5,40,
293,Exception Handling,,5,42,
294,Exception Handling,,5,44,
295,Exception Handling,,5,103,
296,Executable and Linking Format (ELF),,2,118-119,
297,Executable and Linking Format (ELF),,4,39-41,
298,Executable and Linking Format (ELF),,4,46-51,
299,Executable and Linking Format (ELF),,4,65,
300,Executable and Linking Format (ELF),,4,154,
301,Executable and Linking Format (ELF),,5,8,
302,Executable and Linking Format (ELF),,5,10,
303,Executable and Linking Format (ELF),,5,12,
304,Executable and Linking Format (ELF),,5,14,
305,Extra Segment (ES),,4,7,
306,Extra Segment (ES),,4,14,
307,Extra Segment (ES),,4,19,
308,free(),,5,56,
309,Fuzzing,,1,59,Wired EAP/MD5
310,Fuzzing,,3,1,
311,Fuzzing,,3,42,
312,Fuzzing,,3,47-48,
313,Fuzzing,,3,77,
314,Fuzzing,,3,96-103,
315,Fuzzing,,3,106-107,
316,Fuzzing,,3,109-112,
317,Fuzzing,,3,115-119,
318,Fuzzing,,3,122-127,
319,Fuzzing,,3,130-132,
320,Fuzzing,,3,135-137,
321,Fuzzing,,3,140,
322,Fuzzing,,3,142,
323,Fuzzing,,3,145,
324,Fuzzing,,3,147,
325,Fuzzing,,3,151,
326,Fuzzing,,3,160-162,
327,Fuzzing,,3,165-166,
328,Gadgets,,2,30,
329,Gadgets,,4,116-120,
330,Gadgets,,4,122,
331,Gadgets,,4,124,
332,Gadgets,,4,126,
333,Gadgets,,5,84,
334,Gadgets,,5,105,
335,Gadgets,,5,122,
336,Gadgets,,5,129-131,
337,Gadgets,,5,134,
338,Gadgets,,5,137-138,
339,Gadgets,,5,152,
340,GetProcAddress(),,4,80,
341,GetProcAddress(),,4,82-83,
342,GetProcAddress(),,4,87,
343,GetProcAddress(),,5,14,
344,GetProcAddress(),,5,26,
345,GNU Debugger (GDB),,3,45-46,
346,GNU Debugger (GDB),,3,145,
347,GNU Debugger (GDB),,3,159,
348,GNU Debugger (GDB),,3,162,
349,GNU Debugger (GDB),,4,32-33,
350,GNU Debugger (GDB),,4,35,
351,GNU Debugger (GDB),,4,44,
352,GNU Debugger (GDB),,4,47-48,
353,GNU Debugger (GDB),,4,51,
354,GNU Debugger (GDB),,4,54,
355,GNU Debugger (GDB),,4,72,
356,GNU Debugger (GDB),,4,99-100,
357,GNU Debugger (GDB),,4,104-105,
358,GNU Debugger (GDB),,4,110-111,
359,GNU Debugger (GDB),,4,136,
360,GNU Debugger (GDB),,4,140,
361,GNU Debugger (GDB),,4,145-147,
362,GNU Debugger (GDB),,4,150,
363,GNU Debugger (GDB),,4,155,
364,GNU Debugger (GDB),,5,15,
365,Group Policy Objects,,2,73,
366,Group Policy Objects,,2,81,
367,Grsecurity,,2,74,
368,Grsecurity,,5,58,
369,Hash Identification,,2,27,
370,Heap,,1,167,
371,Heap,,2,74,
372,Heap,,2,145,
373,Heap,,3,47,
374,Heap,,3,168,
375,Heap,,4,14,
376,Heap,,4,19-21,
377,Heap,,4,81,
378,Heap,,4,84,
379,Heap,,4,92,
380,Heap,,4,104,
381,Heap,,4,122,
382,Heap,,4,142,
383,Heap,,4,144,
384,Heap,,4,154,
385,Heap,,4,161,
386,Heap,,4,169,
387,Heap,,5,13,
388,Heap,,5,26,
389,Heap,,5,35-36,
390,Heap,,5,38-39,
391,Heap,,5,47-48,
392,Heap,,5,51-53,
393,Heap,,5,55,
394,Heap,,5,59,
